ISim log file
Running: C:\Users\ThinkPad\Documents\ISE\CPU_pipeline\CPU_pipeline\mips_tb_isim_beh.exe -intstyle ise -gui -tclbatch isim.cmd -wdb C:/Users/ThinkPad/Documents/ISE/CPU_pipeline/CPU_pipeline/mips_tb_isim_beh.wdb 
ISim P.20131013 (signature 0x8ef4fb42)
----------------------------------------------------------------------
WARNING:Security:42 - Your software subscription period has lapsed. Your current version of Xilinx tools will continue to function, but you no longer qualify for Xilinx software updates or new releases.


----------------------------------------------------------------------
This is a Full version of ISim.
Time resolution is 1 ps
# onerror resume
# wave add /
# run 1000 ns
Simulator is doing circuit initialization process.
Finished circuit initialization process.
                   9@00003000: $ 8 <= 0000000a
                  11@00003004: $ 9 <= 0000000b
                  13@00003008: $16 <= 00000015
                  15@0000300c: $17 <= 0000001f
                  17@00003010: $18 <= 00000034
                  19@00003014: $19 <= 00000034
                  21@00003018: $20 <= 00000053
                  23@0000301c: $16 <= 00000015
                  25@00003020: $17 <= 0000000a
                  27@00003024: $18 <= 0000000a
                  29@00003028: $19 <= 0000000a
                  31@0000302c: $16 <= 0000001f
                  33@00003030: $17 <= ffffffec
                  35@00003034: $18 <= ffffffec
                  37@00003038: $19 <= ffffffec
                  37@0000303c: *00000000 <= 0000001f
                  39@00003040: *00000004 <= ffffffec
                  41@00003044: *00000008 <= ffffffec
                  43@00003048: *0000000c <= ffffffec
                  47@0000304c: $20 <= 0000001f
                  51@00003050: $21 <= 00000000
                  53@00003054: $14 <= 00000000
                  55@00003058: $15 <= 00000000
                  57@0000305c: $20 <= ffffffec
                  61@00003060: $21 <= 00000001
                  63@00003064: $22 <= 00000001
                  65@00003068: $23 <= 00000001
                  67@0000306c: $31 <= 00003074
                  69@00003070: $16 <= 0000307e
                  71@00003078: $17 <= 0000307e
                  73@0000307c: $18 <= 0000307e
                  75@00003080: $31 <= 00003088
                  77@00003084: $16 <= 00003093
                  79@0000308c: $17 <= 00003093
                  81@00003090: $18 <= 00003093
                  83@00003094: $31 <= 0000309c
                  85@00003098: $17 <= 000030a6
                  87@000030a8: $31 <= 000030b0
                  89@000030ac: $16 <= 000030ba
                  91@0000309c: $18 <= 000030ba
                  97@000030b0: $31 <= 000030b8
                  99@000030b4: $20 <= 000030c2
                 101@000030bc: $31 <= 000030c4
                 103@000030c0: $19 <= 000030ce
                 105@000030b8: $21 <= 000030ce
                 107@000030bc: $31 <= 000030c4
                 109@000030c0: $19 <= 000030ce
                 111@000030c4: $16 <= 00000000
                 113@000030c8: $17 <= 00000000
                 115@000030cc: $18 <= 00000000
                 117@000030d0: $19 <= 00000000
                 119@000030d4: $20 <= 00000000
                 121@000030d8: $21 <= 00000000
                 123@000030dc: $22 <= 00000000
                 125@000030e0: $23 <= 00000000
                 127@000030e4: $10 <= 00000000
                 129@000030e8: $16 <= 00000015
                 131@000030ec: $17 <= 00000016
                 133@000030f0: $18 <= 00000017
                 135@000030f4: $19 <= 00000018
                 137@000030f8: $19 <= 00050000
                 139@000030fc: $20 <= 00050004
                 141@00003100: $21 <= 00050005
                 143@00003104: $22 <= 00050006
                 145@00003108: $16 <= 0000001f
                 149@0000310c: $17 <= 0000003f
                 151@00003110: $18 <= 0000003f
                 153@00003114: $19 <= 0000003f
                 155@00003118: $31 <= 00003120
                 155@0000311c: *00000010 <= 00003120
                 157@00003124: *00000004 <= 00003120
                 159@00003128: *00000008 <= 00003120
                 163@0000312c: $31 <= 00003134
                 167@00003144: $31 <= 0000314c
                 169@00003148: $17 <= 0000314d
                 171@00003134: $18 <= 0000314e
                 173@00003138: $19 <= 0000314f
                 179@0000314c: $16 <= 00000000
                 181@00003150: $17 <= 00000000
                 183@00003154: $18 <= 00000000
                 185@00003158: $19 <= 00000000
                 187@0000315c: $20 <= 00000000
                 189@00003160: $21 <= 00000000
                 191@00003164: $22 <= 00000000
                 193@00003168: $23 <= 00000000
                 195@0000316c: $10 <= 00000000
                 197@00003170: $16 <= 00000015
                 199@00003174: $17 <= 0000001f
                 207@00003180: $11 <= 00000001
                 209@00003184: $16 <= 00000000
                 211@00003188: $17 <= 00000000
                 213@0000318c: $16 <= 00000015
                 217@00003194: $17 <= 0000001f
                 225@000031a0: $11 <= 00000001
                 227@000031a4: $16 <= 00000000
                 229@000031a8: $17 <= 00000001
                 231@000031ac: $16 <= 00000015
                 233@000031b0: $17 <= 00000015
                 241@000031c4: $16 <= 00000000
                 243@000031c8: $17 <= 00000000
                 245@000031cc: $16 <= 00000001
                 247@000031d0: $17 <= 00000002
                 255@000031dc: $11 <= 00000001
                 257@000031e0: $16 <= 00000003
                 259@000031e4: $17 <= 00000003
                 261@000031e8: $16 <= 00000004
                 265@000031f0: $17 <= 00000005
                 273@000031fc: $11 <= 00000001
                 275@00003200: $16 <= 00000006
                 277@00003204: $17 <= 00000006
                 279@00003208: $16 <= 00000007
                 281@0000320c: $17 <= 00000008
                 289@0000321c: $11 <= 00000001
                 291@00003220: $16 <= 00000000
                 293@00003224: $17 <= 00000000
                 295@00003228: $16 <= 0000001f
                 297@0000322c: $17 <= 00003120
                 307@00003238: $11 <= 00000001
                 309@0000323c: $16 <= 00000003
                 311@00003240: $17 <= 00000003
                 313@00003244: $16 <= 0000001f
                 317@0000324c: $17 <= 00003120
                 327@00003258: $11 <= 00000001
                 329@0000325c: $16 <= 00000006
                 331@00003260: $17 <= 00000006
                 333@00003264: $16 <= 00003120
                 335@00003268: $17 <= 00003120
                 345@0000327c: $16 <= 00000000
                 347@00003280: $17 <= 00000000
                 349@00003284: $18 <= 00000004
                 351@00003288: $19 <= 00000000
                 353@0000328c: $20 <= 00000000
                 355@00003290: $21 <= 00000000
                 357@00003294: $22 <= 00000000
                 359@00003298: $23 <= 00000000
                 361@0000329c: $10 <= 00000000
                 363@000032a0: $10 <= 0000000c
                 363@000032a4: *00000010 <= 0000000c
                 365@000032a8: *0000000c <= 00000004
                 369@000032ac: $16 <= 00000010
                 371@000032b0: $17 <= 0000000c
                 373@000032b4: $16 <= 0000000c
                 377@000032bc: $17 <= 0000000c
                 379@000032c0: $16 <= 00000008
                 385@000032cc: $17 <= 0000000c
                 387@000032d0: $16 <= 00000008
                 389@000032d4: $17 <= 0000000c
                 391@000032d8: $16 <= 0000000c
                 395@000032e0: $17 <= 0000000c
                 397@000032e4: $16 <= 00000010
                 403@000032f0: $17 <= 0000000c
                 405@000032f4: $19 <= 0000000c
                 409@000032f8: $19 <= 00000004
                 411@000032fc: $20 <= 0000000c
                 415@00003304: $20 <= 00003120
                 417@00003308: $21 <= 0000000c
                 423@00003314: $21 <= 00003120
                 425@00003318: $16 <= 00000000
                 427@0000331c: $17 <= 00000000
                 429@00003320: $18 <= 00000000
                 431@00003324: $19 <= 00000000
                 433@00003328: $20 <= 00000000
                 435@0000332c: $21 <= 00000000
                 437@00003330: $22 <= 00000000
                 439@00003334: $23 <= 00000000
                 441@00003338: $10 <= 00000000
                 443@0000333c: $16 <= 00000015
                 443@00003340: *00000000 <= 00000015
                 445@00003344: *00000004 <= 00000015
                 447@00003348: *00000008 <= 00000015
                 451@0000334c: $17 <= 00000018
                 451@00003350: *0000000c <= 00000018
                 453@00003354: *00000010 <= 00000018
                 455@00003358: *00000014 <= 00000018
                 459@0000335c: $18 <= 00000015
                 459@00003360: *00000018 <= 00000015
                 461@00003364: *0000001c <= 00000015
                 463@00003368: *00000020 <= 00000015
                 467@0000336c: $31 <= 00003374
                 467@00003370: *00000024 <= 00003374
                 469@00003378: *00000028 <= 00003374
                 471@0000337c: *0000002c <= 00003374
                 475@00003380: $31 <= 00003388
                 479@00003390: $31 <= 00003398
                 479@00003394: *00000030 <= 00003398
                 481@00003388: *00000034 <= 00003398
                 483@0000338c: *00000038 <= 00003398
                 487@00003390: $31 <= 00003398
                 487@00003394: *00000030 <= 00003398
